Country,Year,any_all,any_married,any_modern_all,any_active_unmarried,any_modern_married,any_modern_active_unmarried
Ecuador,1983 [YR1983],..,..,..,..,..,..
Ecuador,1984 [YR1984],..,..,..,..,..,..
Ecuador,1985 [YR1985],..,..,..,..,..,..
Ecuador,1986 [YR1986],..,..,..,..,..,..
Ecuador,1987 [YR1987],29,44.3,23.5,..,35.8,..
Ecuador,1988 [YR1988],..,..,..,..,..,..
Ecuador,1989 [YR1989],34,52.9,26.7,..,41.5,..
Ecuador,1990 [YR1990],..,..,..,..,..,..
Ecuador,1991 [YR1991],..,..,..,..,..,..
Ecuador,1992 [YR1992],..,..,..,..,..,..
Ecuador,1993 [YR1993],..,..,..,..,..,..
Ecuador,1994 [YR1994],35.3,56.8,28.4,..,45.7,..
Ecuador,1995 [YR1995],..,..,..,..,..,..
Ecuador,1996 [YR1996],..,..,..,..,..,..
Ecuador,1997 [YR1997],..,..,..,..,..,..
Ecuador,1998 [YR1998],..,..,..,..,..,..
Ecuador,1999 [YR1999],41.9,66.3,32.3,..,51.7,..
Ecuador,2000 [YR2000],..,..,..,..,..,..
Ecuador,2001 [YR2001],..,..,..,..,..,..
Ecuador,2002 [YR2002],..,..,..,..,..,..
Ecuador,2003 [YR2003],..,..,..,..,..,..
Ecuador,2004 [YR2004],48.5,72.7,39.4,..,58.7,..
Ecuador,2005 [YR2005],..,..,..,..,..,..
Ecuador,2006 [YR2006],..,..,..,..,..,..
Ecuador,2007 [YR2007],..,..,..,..,..,..
Ecuador,2008 [YR2008],..,..,..,..,..,..
Ecuador,2009 [YR2009],..,..,..,..,..,..
Ecuador,2010 [YR2010],..,..,..,..,..,..
Ecuador,2011 [YR2011],..,..,..,..,..,..
Ecuador,2012 [YR2012],54.7,80.1,49,..,71.5,..
Ecuador,2013 [YR2013],..,..,..,..,..,..
Ecuador,2014 [YR2014],49.8,74.7,45.3,..,67.2,..
Ecuador,2015 [YR2015],..,..,..,..,..,..
Ecuador,2016 [YR2016],..,..,..,..,..,..
Ecuador,2017 [YR2017],..,..,..,..,..,..
Ecuador,2018 [YR2018],..,..,..,..,..,..
Ecuador,2019 [YR2019],56.6,77.9,52.9,..,72.4,..
Ecuador,2020 [YR2020],..,..,..,..,..,..
Ecuador,2021 [YR2021],..,..,..,..,..,..
Ecuador,2022 [YR2022],..,..,..,..,..,..
Ecuador,2023 [YR2023],..,..,..,..,..,..
Guyana,1970 [YR1970],..,..,..,..,..,..
Guyana,1971 [YR1971],..,..,..,..,..,..
Guyana,1972 [YR1972],..,..,..,..,..,..
Guyana,1973 [YR1973],..,..,..,..,..,..
Guyana,1974 [YR1974],..,..,..,..,..,..
Guyana,1975 [YR1975],..,29.5,..,..,23.4,..
Guyana,1976 [YR1976],..,..,..,..,..,..
Guyana,1977 [YR1977],..,..,..,..,..,..
Guyana,1978 [YR1978],..,..,..,..,..,..
Guyana,1979 [YR1979],..,..,..,..,..,..
Guyana,1980 [YR1980],..,..,..,..,..,..
Guyana,1981 [YR1981],..,..,..,..,..,..
Guyana,1982 [YR1982],..,..,..,..,..,..
Guyana,1983 [YR1983],..,..,..,..,..,..
Guyana,1984 [YR1984],..,..,..,..,..,..
Guyana,1985 [YR1985],..,..,..,..,..,..
Guyana,1986 [YR1986],..,..,..,..,..,..
Guyana,1987 [YR1987],..,..,..,..,..,..
Guyana,1988 [YR1988],..,..,..,..,..,..
Guyana,1989 [YR1989],..,..,..,..,..,..
Guyana,1990 [YR1990],..,..,..,..,..,..
Guyana,1991 [YR1991],..,..,..,..,..,..
Guyana,1992 [YR1992],..,38.2,..,..,36.9,..
Guyana,1993 [YR1993],..,..,..,..,..,..
Guyana,1994 [YR1994],..,..,..,..,..,..
Guyana,1995 [YR1995],..,..,..,..,..,..
Guyana,1996 [YR1996],..,..,..,..,..,..
Guyana,1997 [YR1997],..,..,..,..,..,..
Guyana,1998 [YR1998],..,..,..,..,..,..
Guyana,1999 [YR1999],..,..,..,..,..,..
Guyana,2000 [YR2000],..,37.3,..,..,36.3,..
Guyana,2001 [YR2001],..,..,..,..,..,..
Guyana,2002 [YR2002],..,..,..,..,..,..
Guyana,2003 [YR2003],..,..,..,..,..,..
Guyana,2004 [YR2004],..,..,..,..,..,..
Guyana,2005 [YR2005],..,34.6,..,..,33.6,..
Guyana,2006 [YR2006],..,..,..,..,..,..
Guyana,2007 [YR2007],24.6,34.2,23.5,..,33,..
Guyana,2008 [YR2008],..,..,..,..,..,..
Guyana,2009 [YR2009],34.6,42.5,32.5,63.6,40,60.8
Guyana,2010 [YR2010],..,..,..,..,..,..
Guyana,2011 [YR2011],..,..,..,..,..,..
Guyana,2012 [YR2012],..,..,..,..,..,..
Guyana,2013 [YR2013],..,..,..,..,..,..
Guyana,2014 [YR2014],25.5,33.9,24.1,..,32.6,..
Guyana,2015 [YR2015],..,..,..,..,..,..
Guyana,2016 [YR2016],..,..,..,..,..,..
Guyana,2017 [YR2017],..,..,..,..,..,..
Guyana,2018 [YR2018],..,..,..,..,..,..
Guyana,2019 [YR2019],..,..,..,..,..,..
Guyana,2020 [YR2020],23,29.9,21.8,..,28.6,..
Guyana,2021 [YR2021],..,..,..,..,..,..
Guyana,2022 [YR2022],..,..,..,..,..,..
Guyana,2023 [YR2023],..,..,..,..,..,..
Paraguay,1970 [YR1970],..,..,..,..,..,..
Paraguay,1971 [YR1971],..,..,..,..,..,..
Paraguay,1972 [YR1972],..,..,..,..,..,..
Paraguay,1973 [YR1973],..,..,..,..,..,..
Paraguay,1974 [YR1974],..,..,..,..,..,..
Paraguay,1975 [YR1975],..,..,..,..,..,..
Paraguay,1976 [YR1976],..,..,..,..,..,..
Paraguay,1977 [YR1977],..,28.6,..,..,23.3,..
Paraguay,1978 [YR1978],..,..,..,..,..,..
Paraguay,1979 [YR1979],..,37.7,..,..,25.4,..
Paraguay,1980 [YR1980],..,..,..,..,..,..
Paraguay,1981 [YR1981],..,..,..,..,..,..
Paraguay,1982 [YR1982],..,..,..,..,..,..
Paraguay,1983 [YR1983],..,..,..,..,..,..
Paraguay,1984 [YR1984],..,..,..,..,..,..
Paraguay,1985 [YR1985],..,..,..,..,..,..
Paraguay,1986 [YR1986],..,..,..,..,..,..
Paraguay,1987 [YR1987],28.8,44.8,18.3,..,29,..
Paraguay,1988 [YR1988],..,..,..,..,..,..
Paraguay,1989 [YR1989],..,..,..,..,..,..
Paraguay,1990 [YR1990],32.7,48.4,23.6,38.7,35.2,25.4
Paraguay,1991 [YR1991],..,..,..,..,..,..
Paraguay,1992 [YR1992],..,..,..,..,..,..
Paraguay,1993 [YR1993],..,..,..,..,..,..
Paraguay,1994 [YR1994],..,..,..,..,..,..
Paraguay,1995 [YR1995],..,..,..,..,..,..
Paraguay,1996 [YR1996],40.6,55.9,29.6,..,41.3,..
Paraguay,1997 [YR1997],..,..,..,..,..,..
Paraguay,1998 [YR1998],44.4,62.3,33.8,..,47.7,..
Paraguay,1999 [YR1999],..,..,..,..,..,..
Paraguay,2000 [YR2000],..,..,..,..,..,..
Paraguay,2001 [YR2001],..,..,..,..,..,..
Paraguay,2002 [YR2002],..,..,..,..,..,..
Paraguay,2003 [YR2003],..,..,..,..,..,..
Paraguay,2004 [YR2004],50.5,72.8,41.9,..,60.5,..
Paraguay,2005 [YR2005],..,..,..,..,..,..
Paraguay,2006 [YR2006],..,..,..,..,..,..
Paraguay,2007 [YR2007],..,..,..,..,..,..
Paraguay,2008 [YR2008],59,79.4,52.4,..,70.7,..
Paraguay,2009 [YR2009],..,..,..,..,..,..
Paraguay,2010 [YR2010],..,..,..,..,..,..
Paraguay,2011 [YR2011],..,..,..,..,..,..
Paraguay,2012 [YR2012],..,..,..,..,..,..
Paraguay,2013 [YR2013],..,..,..,..,..,..
Paraguay,2014 [YR2014],..,..,..,..,..,..
Paraguay,2015 [YR2015],..,..,..,..,..,..
Paraguay,2016 [YR2016],52.8,68.4,51.4,..,66.4,..
Paraguay,2017 [YR2017],..,..,..,..,..,..
Paraguay,2018 [YR2018],..,..,..,..,..,..
Paraguay,2019 [YR2019],..,..,..,..,..,..
Paraguay,2020 [YR2020],..,..,..,..,..,..
Paraguay,2021 [YR2021],..,..,..,..,..,..
Paraguay,2022 [YR2022],..,..,..,..,..,..
Paraguay,2023 [YR2023],..,..,..,..,..,..
Peru,1970 [YR1970],..,26,..,..,10,..
Peru,1971 [YR1971],..,..,..,..,..,..
Peru,1972 [YR1972],..,..,..,..,..,..
Peru,1973 [YR1973],..,..,..,..,..,..
Peru,1974 [YR1974],..,..,..,..,..,..
Peru,1975 [YR1975],..,..,..,..,..,..
Peru,1976 [YR1976],..,..,..,..,..,..
Peru,1977 [YR1977],..,..,..,..,..,..
Peru,1978 [YR1978],..,31.4,..,..,11.2,..
Peru,1979 [YR1979],..,..,..,..,..,..
Peru,1980 [YR1980],..,..,..,..,..,..
Peru,1981 [YR1981],25,41,..,..,17.6,..
Peru,1982 [YR1982],..,..,..,..,..,..
Peru,1983 [YR1983],..,..,..,..,..,..
Peru,1984 [YR1984],..,..,..,..,..,..
Peru,1985 [YR1985],..,..,..,..,..,..
Peru,1986 [YR1986],28,45.8,14.1,..,23,..
Peru,1987 [YR1987],..,..,..,..,..,..
Peru,1988 [YR1988],..,..,..,..,..,..
Peru,1989 [YR1989],..,..,..,..,..,..
Peru,1990 [YR1990],..,..,..,..,..,..
Peru,1991 [YR1991],..,..,..,..,..,..
Peru,1992 [YR1992],35.7,59,19.9,68.8,32.8,32.3
Peru,1993 [YR1993],..,..,..,..,..,..
Peru,1994 [YR1994],..,..,..,..,..,..
Peru,1995 [YR1995],..,..,..,..,..,..
Peru,1996 [YR1996],40.9,64.2,26.4,76.5,41.3,45.9
Peru,1997 [YR1997],..,..,..,..,..,..
Peru,1998 [YR1998],..,..,..,..,..,..
Peru,1999 [YR1999],..,..,..,..,..,..
Peru,2000 [YR2000],44,68.9,32,76.4,50.4,45.3
Peru,2001 [YR2001],..,..,..,..,..,..
Peru,2002 [YR2002],..,..,..,..,..,..
Peru,2003 [YR2003],..,..,..,..,..,..
Peru,2004 [YR2004],..,..,..,..,..,..
Peru,2005 [YR2005],45.8,71.3,30.9,..,47.6,..
Peru,2006 [YR2006],45.8,71.3,30.9,86.4,47.6,57.9
Peru,2007 [YR2007],..,..,..,..,..,..
Peru,2008 [YR2008],48,72.4,33,86.4,48.8,61.9
Peru,2009 [YR2009],49.2,73.2,34.2,84.7,50,61.5
Peru,2010 [YR2010],50.1,74.4,34.7,85.9,50.5,62.7
Peru,2011 [YR2011],50.9,75.4,35.3,86.1,51.1,63.7
Peru,2012 [YR2012],51.5,75.5,36.1,85.5,51.8,64
Peru,2013 [YR2013],49.9,74,35.1,..,51.3,..
Peru,2014 [YR2014],51.2,74.6,36.4,..,52.2,..
Peru,2015 [YR2015],51.7,74.6,37.7,..,53.3,..
Peru,2016 [YR2016],53.4,76.2,38.9,..,54.3,..
Peru,2017 [YR2017],53.3,75.4,39.4,..,54.5,..
Peru,2018 [YR2018],52.7,76.3,39.1,..,55,..
Peru,2019 [YR2019],52.3,75.9,39.3,..,55.6,..
Peru,2020 [YR2020],50,77.4,36.9,..,55,..
Peru,2021 [YR2021],..,..,..,..,..,..
Peru,2022 [YR2022],..,..,..,..,..,..
Peru,2023 [YR2023],..,..,..,..,..,..
Suriname,1970 [YR1970],..,..,..,..,..,..
Suriname,1971 [YR1971],..,..,..,..,..,..
Suriname,1972 [YR1972],..,..,..,..,..,..
Suriname,1973 [YR1973],..,..,..,..,..,..
Suriname,1974 [YR1974],..,..,..,..,..,..
