Country Name,Year,GDP per capita (current US$),Bachelor ,lower secondary,post-secondary,primary,short-cycle tertiary,upper secondary,Master,Doctoral
Chile,1979 [YR1979],1922.977189,..,..,..,..,..,..,..,..
Chile,1980 [YR1980],2523.055456,..,..,..,..,..,..,..,..
Chile,1981 [YR1981],2954.937434,..,..,..,..,..,..,..,..
Chile,1982 [YR1982],1648.011712,..,33.02999878,..,..,5.949999809,..,..,..
Chile,1983 [YR1983],1693.146767,..,..,..,..,..,..,..,..
Chile,1984 [YR1984],1611.4186,..,..,..,..,..,..,..,..
Chile,1985 [YR1985],1429.38851,..,..,..,..,..,..,..,..
Chile,1986 [YR1986],1501.091407,..,..,..,..,..,..,..,..
Chile,1987 [YR1987],1739.676991,..,..,..,..,..,..,..,..
Chile,1988 [YR1988],2003.363504,..,..,..,..,..,..,..,..
Chile,1989 [YR1989],2265.359377,..,..,..,..,..,..,..,..
Chile,1990 [YR1990],2466.130142,..,..,..,..,..,..,..,..
Chile,1991 [YR1991],2770.079646,..,..,..,..,..,..,..,..
Chile,1992 [YR1992],3309.399239,..,..,..,..,..,..,..,..
Chile,1993 [YR1993],3494.994609,..,..,..,..,..,..,..,..
Chile,1994 [YR1994],3981.390189,..,..,..,..,..,..,..,..
Chile,1995 [YR1995],5055.614062,..,..,..,..,..,..,..,..
Chile,1996 [YR1996],5333.504387,..,..,..,..,..,..,..,..
Chile,1997 [YR1997],5741.95843,..,..,..,..,..,..,..,..
Chile,1998 [YR1998],5419.824173,..,..,..,..,..,..,..,..
Chile,1999 [YR1999],4933.555815,..,..,..,..,..,..,..,..
Chile,2000 [YR2000],5052.992458,..,66.73000336,..,79.34999847,..,42.38000107,..,..
Chile,2001 [YR2001],4563.595299,..,..,..,..,..,..,..,..
Chile,2002 [YR2002],4430.847412,..,..,..,..,..,..,..,..
Chile,2003 [YR2003],4773.401775,..,68.95999908,..,80.69999695,..,44.90999985,..,..
Chile,2004 [YR2004],6120.591521,..,75.30999756,..,86.73000336,12.60999966,49.95000076,..,..
Chile,2005 [YR2005],7480.32331,..,..,..,..,..,..,..,..
Chile,2006 [YR2006],9318.656553,..,69.54000092,..,81.36000061,..,45.56000137,..,..
Chile,2007 [YR2007],10346.41382,..,76.33999634,..,88.76999664,13.86999989,50.08000183,..,..
Chile,2008 [YR2008],10683.21888,..,72.44999695,..,84.66000366,20.18000031,51,..,..
Chile,2009 [YR2009],10098.80172,..,73.45999908,..,83.48000336,..,50.52999878,..,..
Chile,2010 [YR2010],12632.87047,10.65900898,73.55000305,..,83.83999634,17.93000031,51.97999954,0.581263721,0.058040492
Chile,2011 [YR2011],14487.39278,9.850000381,74.01999664,..,84.23000336,14.77000046,51.61000061,0.370000005,0.042555146
Chile,2012 [YR2012],15241.907,11.41712666,75.56320953,16.83385468,84.88105774,11.41712666,53.7369194,0.96777463,0.053754319
Chile,2013 [YR2013],15683.54864,10.98999977,76.08999634,..,85.47000122,17.45000076,54.90999985,0.519999981,0.066401951
Chile,2014 [YR2014],14529.67672,12.59426785,77.53133392,18.18658829,86.05986023,12.59426785,56.25016785,1.182412148,0.08238434
Chile,2015 [YR2015],13433.9203,12.31999969,78.51000214,..,87.04000092,19.32999992,57.95999908,0.939999998,0.062880076
Chile,2016 [YR2016],13649.85205,13.00433922,78.24503326,19.21205139,86.51783752,13.00433922,57.54313278,1.180382371,0.115317747
Chile,2017 [YR2017],14879.90862,14.14000034,79.66000366,..,87.54000092,21.92000008,60.29999924,1.309999943,0.193601742
Chile,2018 [YR2018],15659.48087,14.55063057,80.59999084,21.6640377,87.84420776,14.55063057,60.87902832,1.560489535,0.13143003
Chile,2019 [YR2019],14495.71672,15.43481445,81.3367691,22.83043098,88.41060638,15.43481445,62.10457993,1.568638921,0.152953938
Chile,2020 [YR2020],13114.81547,18.58077049,83.05000305,27.94906807,89.36000061,18.58077049,64.37000275,2.377244473,0.16332294
Chile,2021 [YR2021],16216.57065,18.93096924,85.00179291,27.85404396,90.9673996,18.93096924,66.45059967,2.604084492,0.145410448
Chile,2022 [YR2022],15451.13196,19.5457077,83.19999695,28.12409401,89.76000214,19.5457077,65.98999786,2.822250605,0.14658685
Chile,2023 [YR2023],17067.81362,20.93496323,85.95876312,30.28996086,91.4278717,..,68.22872925,2.925900698,0.14312093
Colombia,1970 [YR1970],345.8791016,..,..,..,..,..,..,..,..
Colombia,1971 [YR1971],366.8251679,..,..,..,..,..,..,..,..
Colombia,1972 [YR1972],397.4121174,..,..,..,..,..,..,..,..
Colombia,1973 [YR1973],462.0643757,..,..,..,..,..,..,..,..
Colombia,1974 [YR1974],541.7499016,..,..,..,..,..,..,..,..
Colombia,1975 [YR1975],561.0980361,..,..,..,..,..,..,..,..
Colombia,1976 [YR1976],643.0079145,..,..,..,..,..,..,..,..
Colombia,1977 [YR1977],798.2030216,..,..,..,..,..,..,..,..
Colombia,1978 [YR1978],932.3926951,..,..,..,..,..,..,..,..
Colombia,1979 [YR1979],1095.031384,..,..,..,..,..,..,..,..
Colombia,1980 [YR1980],1279.501167,..,..,..,..,..,..,..,..
Colombia,1981 [YR1981],1362.183325,..,..,..,..,..,..,..,..
Colombia,1982 [YR1982],1425.399368,..,..,..,..,..,..,..,..
Colombia,1983 [YR1983],1383.792461,..,..,..,..,..,..,..,..
Colombia,1984 [YR1984],1335.528218,..,..,..,..,..,..,..,..
Colombia,1985 [YR1985],1192.218775,..,..,..,..,..,..,..,..
Colombia,1986 [YR1986],1169.462121,..,..,..,..,..,..,..,..
Colombia,1987 [YR1987],1192.588286,..,..,..,..,..,..,..,..
Colombia,1988 [YR1988],1259.617411,..,..,..,..,..,..,..,..
Colombia,1989 [YR1989],1244.326946,..,..,..,..,..,..,..,..
Colombia,1990 [YR1990],1474.845529,..,..,..,..,..,..,..,..
Colombia,1991 [YR1991],1499.711042,..,..,..,..,..,..,..,..
Colombia,1992 [YR1992],1729.663973,..,..,..,..,..,..,..,..
Colombia,1993 [YR1993],1930.059765,..,..,..,..,..,..,..,..
Colombia,1994 [YR1994],2325.975573,..,..,..,..,..,..,..,..
Colombia,1995 [YR1995],2583.349914,..,..,..,..,..,..,..,..
Colombia,1996 [YR1996],2664.456256,..,..,..,..,..,..,..,..
Colombia,1997 [YR1997],2873.200188,..,..,..,..,..,..,..,..
Colombia,1998 [YR1998],2605.999381,..,..,..,..,..,..,..,..
Colombia,1999 [YR1999],2243.64205,..,..,..,..,..,..,..,..
Colombia,2000 [YR2000],2555.00751,..,..,..,..,..,..,..,..
Colombia,2001 [YR2001],2472.99084,..,..,..,..,..,..,..,..
Colombia,2002 [YR2002],2428.929698,..,37.61999893,..,69.51999664,..,31.95000076,..,..
Colombia,2003 [YR2003],2311.942188,..,38.36000061,..,69.87000275,..,33,..,..
Colombia,2004 [YR2004],2818.571954,..,39.91999817,..,71.01000214,14.57999992,34.68000031,..,..
Colombia,2005 [YR2005],3456.066109,..,41.09000015,..,71.91999817,15.21000004,35.54999924,..,..
Colombia,2006 [YR2006],3789.853612,..,38.27000046,..,69.84999847,10.88000011,32.27000046,..,..
Colombia,2007 [YR2007],4769.926147,9.43999958,42.13999939,..,71.51999664,14.68000031,36.56999969,2.309999943,..
Colombia,2008 [YR2008],5541.836297,9.779999733,44.00999832,..,72.37000275,15.47999954,38.54999924,2.220000029,..
Colombia,2009 [YR2009],5250.972924,9.170000076,43.75999832,..,72.25,15.14999962,38.43999863,2.200000048,..
Colombia,2010 [YR2010],6398.295845,9.380000114,44.34000015,..,72.01999664,16.15999985,39.22999954,2.49000001,..
Colombia,2011 [YR2011],7400.99407,9.56000042,45.56999969,..,72.83000183,16.87000084,40.36999893,2.710000038,..
Colombia,2012 [YR2012],8108.598382,9.550000191,46.54999924,..,73.36000061,17.90999985,41.47000122,2.700000048,..
Colombia,2013 [YR2013],8279.102556,10.26000023,48.40000153,..,74.37000275,19.67000008,43.49000168,3.180000067,..
Colombia,2014 [YR2014],8187.208249,10.72999954,49.61000061,..,75.34999847,20.90999985,44.65000153,3.25999999,..
Colombia,2015 [YR2015],6248.514905,10.56000042,50.52999878,..,75.56999969,20.75,45.54999924,3.230000019,..
Colombia,2016 [YR2016],5959.842504,11.28999996,52.36999893,..,76.91999817,21.48999977,47.59999847,3.339999914,..
Colombia,2017 [YR2017],6479.532313,..,53.54999924,..,77.61000061,..,48.79999924,..,..
Colombia,2018 [YR2018],6816.968183,12.34000015,55.00999832,..,78.55999756,22.72999954,50.38000107,3.690000057,..
Colombia,2019 [YR2019],6472.545449,12.68999958,56.56999969,23.19000053,79.93000031,23.19000053,52.00999832,3.819999933,..
Colombia,2020 [YR2020],5339.687114,13.53999996,58.84999847,24.27000046,81.94000244,24.27000046,54.24000168,4,..
Colombia,2021 [YR2021],6222.621644,..,59.29000092,..,81.70999908,..,55.09000015,..,..
Colombia,2022 [YR2022],6674.596019,16.54225922,61.29000092,28.16192627,82.34999847,27.99472046,57.25999832,4.280035496,0.090931885
Colombia,2023 [YR2023],6947.359287,16.96523285,62.17947769,28.61593246,82.88139343,28.46691322,58.14437103,4.659244061,0.101502374
Ecuador,1970 [YR1970],465.0403198,..,..,..,..,..,..,..,..
Ecuador,1971 [YR1971],434.4158803,..,..,..,..,..,..,..,..
Ecuador,1972 [YR1972],487.9720472,..,..,..,..,..,..,..,..
Ecuador,1973 [YR1973],578.9549308,..,..,..,..,..,..,..,..
Ecuador,1974 [YR1974],953.8465583,..,13.39000034,..,63.13999939,1.659999967,13.39000034,..,..
Ecuador,1975 [YR1975],1086.176151,..,..,..,..,..,..,..,..
Ecuador,1976 [YR1976],1241.910985,..,..,..,..,..,..,..,..
Ecuador,1977 [YR1977],1464.940584,..,..,..,..,..,..,..,..
Ecuador,1978 [YR1978],1541.137604,..,..,..,..,..,..,..,..
Ecuador,1979 [YR1979],1783.292806,..,..,..,..,..,..,..,..
Ecuador,1980 [YR1980],2189.784177,..,..,..,..,..,..,..,..
Ecuador,1981 [YR1981],2600.571528,..,..,..,..,..,..,..,..
Ecuador,1982 [YR1982],2314.383545,..,22.46999931,..,53.56999969,5.559999943,14.22000027,..,..
Ecuador,1983 [YR1983],1940.233932,..,..,..,..,..,..,..,..
Ecuador,1984 [YR1984],1863.682135,..,..,..,..,..,..,..,..
Ecuador,1985 [YR1985],1841.779055,..,..,..,..,..,..,..,..
Ecuador,1986 [YR1986],1604.246981,..,..,..,..,..,..,..,..
Ecuador,1987 [YR1987],1426.016292,..,..,..,..,..,..,..,..
Ecuador,1988 [YR1988],1303.779061,..,..,..,..,..,..,..,..
Ecuador,1989 [YR1989],1356.280456,..,..,..,..,..,..,..,..
Ecuador,1990 [YR1990],1455.007485,..,33.90999985,..,77.29000092,11.30000019,33.90999985,..,..
Ecuador,1991 [YR1991],1587.3605,..,..,..,..,..,..,..,..
Ecuador,1992 [YR1992],1655.446132,..,..,..,..,..,..,..,..
Ecuador,1993 [YR1993],1697.888841,..,..,..,..,..,..,..,..
Ecuador,1994 [YR1994],1996.858948,..,..,..,..,..,..,..,..
